korean,actual translation,Google translation,Microsoft translation,DeepL translation
금성이 태양에 조금 더 가깝기 때문이 아닙니다.,It's not because Venus is slightly closer to the Sun.,It's not because Venus is a little closer to the Sun.,Not because Venus is a little closer to the Sun.,It's not because Venus is a little closer to the Sun.
"금성은 수성보다 세 배나 더 뜨겁습니다. 수성이 바로 태양 옆에 있는데도 말이지요. 자, 이제, 간단히 여러분이 보신 적이 있는 이미지가 있습니다. 유일하게 남아있는 옛날 이미지들 중 하나입니다. 하지만 이것을 보여드리는 이유는 여러분께 기후편을 전해드리고 싶어서입니다.","It's three times hotter than Mercury, which is right next to the Sun. Now, briefly, here's an image you've seen, as one of the only old images, but I show it because I want to briefly give Climate.","Venus is three times hotter than Mercury. Even though Mercury is right next to the sun. Now, here's a quick image of what you've seen. This is one of the only remaining old images. But the reason I'm showing you this is because I want to give you the climate story.","Venus is three times hotter than Mercury. Even though Mercury is right next to the sun. Now, here's a quick look at the image you've seen. It is one of the only old images that remains. However, the reason I am showing this is because I want to tell you about the climate section.","Venus is three times hotter than Mercury, even though Mercury is right next to the sun. Now, here's an image that you may have seen before. It's one of the only old images left. But the reason I'm showing you this is because I want to give you a climate lesson."
"전세계 과학 커뮤니티에서는 이렇게 말합니다. 인간이 만든 지구 온난화 물질이 대기로 들어가서, 이것이 두터워지고, 지구 밖으로 나가는 적외선을 더 많이 붙잡고 있는 것이다.","The global scientific man-made global warming pollution, put into the atmosphere, thickening this, is trapping more of the outgoing infrared.","The global scientific community says: Man-made global warming substances enter the atmosphere, thickening it and trapping more infrared rays leaving the Earth.","The global scientific community says: Human-made global warming materials enter the atmosphere, thicken, and capture more infrared rays that go out of the earth.","The global scientific community says this. Human-made global warming substances are entering the atmosphere, causing it to thicken and trap more infrared radiation that leaves the planet."
"여러분 모두 알고 계실 거예요. 지난번 유엔 기후 변화에 관한 정부간 패널 요약에서, 과학자들은 ""얼마나 확신합니까?""라고 말하고 싶어했습니다. 그들은 ""99퍼센트""라고 대답하고 싶어했습니다.","You all know that. At the last IPCC summary, the scientists wanted to say, ""How certain are you?"" They wanted to answer that ""99 percent.""","You all know this. In the last summary of the United Nations Intergovernmental Panel on Climate Change, scientists wanted to say, “How confident are we?” They wanted to answer, “99 percent.”","You all know that. In the last summary of the UN Intergovernmental Panel on Climate Change, scientists asked, ""How sure are you?"" I wanted to say. They wanted to answer, ""99 percent.""","You all know that in the last United Nations Intergovernmental Panel on Climate Change summary, the scientists wanted to say, ""How confident are you?"" They wanted to say, ""99 percent."""
"중국쪽이 거부해서, 절충안으로 ""90퍼센트 이상""이 되었습니다만.","The Chinese objected, and so the compromise was ""more than 90 percent.""","China refused, so the compromise was ""more than 90 percent.""","The Chinese side refused, so as a compromise, it became ""more than 90 percent"".","The Chinese refused, so the compromise was ""more than 90 percent""."
"이제, 회의주의자들은 이렇게 말합니다. ""잠깐만요. 으로부터 들어오는 에너지의 양이 변화할 수 있어요."" 이것이 사실이라면, 낮은 쪽의 대기권은 물론 성층권까지도 가열될 수 있습니다. 에너지가 더 많이 들어온다면 말입니다.","Now, the skeptics say, ""Oh, wait a minute, this could be variations in this energy coming in from the sun."" If that were true, the stratosphere would be heated as well as the lower atmosphere, if it's more coming in.","Now, the skeptics say: “Wait a minute. The amount of energy coming from can change.” If this were true, the lower atmosphere and even the stratosphere could be heated. If only there was more energy coming in.","Now, skeptics say: ""Wait. If this is true, the lower atmosphere and even the stratosphere can be heated. If you have more energy.","Now, the skeptics say ""Wait a minute, the amount of energy coming in from the sun could change."" If this were true, the lower atmosphere and even the stratosphere could heat up. That is, if more energy is coming in."
"나가는 길에 좀 더 가두어져 있는 것이라면, 그 때는 여기는 더 따뜻하고 저기는 더 서늘하기를 예상할 수 있겠지요. 여기가 낮은 쪽의 대기권입니다.","If it's more being trapped on the way out, then you would expect it to be warmer here and cooler here. Here is the lower atmosphere.","If you stay a little longer on your way out, you can expect it to be warmer here and cooler there. This is the lower atmosphere.","If you are a little more confined on the way out, you can expect it to be warmer here and cooler there. This is the atmosphere on the lower side.","If it's more confined on the way out, then you'd expect it to be warmer here and cooler there. This is the lower atmosphere."
여기가 성층권입니다. 더 서늘하지요.,Here's cooler.,This is the stratosphere. It's cooler.,This is the stratosphere. It's cooler.,This is the stratosphere. It's cooler.
기후,Climate.,climate,climate,Climate
"좋은 소식이 하나 있습니다. 이제 미국인들의 68%가 인간의 활동이 지구 온난화에 책임이 있다고 믿습니다. 69퍼센트는 지구가 눈에 띄게 뜨거워지고 있다고 믿습니다. 발전이 있었던 거죠. 하지만, 여기에 핵심이 있습니다. 직면해야 하는 도전들의 목록을 마련한다면, 지구 온난화는 여전히 그 목록의 거의 맨 아래에 있다는 것입니다.","Now, here's the good news. Sixty-eight percent of Americans now believe that human activity is responsible for global warming. Sixty-nine percent believe that the Earth is heating up in a significant way. There has been progress, but here is when given a list of challenges to confront, global warming is still listed at near the bottom.","There is some good news. 68% of Americans now believe human activity is responsible for global warming. 69 percent believe the Earth is warming noticeably. There was progress. But here's the key. If you were to make a list of challenges that must be faced, global warming would still be near the bottom of the list.","There is one good news. Now 68% of Americans believe that human activity is responsible for global warming. 69 percent believe the planet is getting noticeably hotter. There was progress. However, here's the crux of it. If we were to make a list of challenges to face, it would be that global warming is still almost at the bottom of that list.","Here's the good news. Now 68 percent of Americans believe that human activity is responsible for global warming, and 69 percent believe the planet is getting noticeably hotter. So we've made progress, but here's the kicker. If you were to come up with a list of challenges we need to face, global warming is still pretty much at the bottom of the list."
지금 빠진 것은 긴박함입니다.,What is missing is a sense of urgency.,What's missing now is urgency.,What is missing now is urgency.,What's missing now is a sense of urgency.
"여러분이 사실에 입각한 분석에 동의하지만, 긴박함을 느끼지 않는다면, 이것이 시사하는 바는 무엇일까요?","If you agree with the factual analysis, but you don't feel the sense of urgency, where does that leave you?","If you agree with the factual analysis but don't feel the urgency, what does this mean?","If you agree with a factual analysis but don't feel the urgency, what does this suggest?","If you agree with the factual analysis, but don't feel a sense of urgency, what does this mean?"
"제가 커런트TV와 함께 이끌고 있고, 커런트TV에서 무료로 돕고 있는 단체인 기후 보호를 위한 동맹에서 이것을 어떻게 전달할지에 대한 광고를 만들기 위해 전세계적인 컨테스트를 개최했습니다.","Well, the Alliance for Climate Protection, which I head in conjunction with Current TV -- who did this pro bono -- did a worldwide contest to do commercials on how to communicate this.","The Alliance for Climate Protection, an organization that I lead with Current TV and that Current TV helps pro bono, held a global contest to create ads on how to communicate this.","The Alliance for Climate Protection, an organization that I lead with Current TV and which Current TV helps for free, ran a global contest to create an ad on how to convey this.","The Alliance to Protect the Climate, an organization that I lead with Current TV and that Current TV is helping pro bono, held a global contest to create an ad about how to communicate this."
그 우승자입니다.,This is the winner.,That's the winner.,It is the winner.,The winner.
NBC - 여기서 모든 네트워크를 보여드리겠습니다 - NBC 최고의 저널리스트들이 2007년에 대통령 후보들에게 956개의 질문을 했습니다. 그 중 두 개가 기후 위기에 대한 것이었습니다. 844개의 질문 중 두 개입니다.,"NBC -- I'll show all of the networks here -- the top journalists for NBC asked 956 questions in 2007 of the two of them were about the climate crisis. 844 questions, two about the climate crisis.",NBC - we'll show you all the networks here - NBC's top journalists asked 956 questions of presidential candidates in 2007. Two of them were about the climate crisis. These are two of 844 questions.,NBC - Here I show you all the networks - NBC's top journalists asked the presidential candidates 956 questions in 2007. Two of them were about the climate crisis. Two out of 844 questions.,NBC - I'll show you all the networks here - NBC's top journalists asked 956 questions of the presidential candidates in 2007. Two of them were about the climate crisis. Two out of 844 questions.
두 개. 두 개. 없음.,two. two. zero.,two. two. doesn't exist.,two. two.,Two. Two. None.
웃음에서 눈물까지. 이것은 옛날 담배 광고들 중 하나입니다.,From laughs to tears -- this is one of the older tobacco commercials.,From laughter to tears. This is one of those old cigarette advertisements.,From laughter to tears. This is one of the old cigarette advertisements.,From laughter to tears. This is one of those old cigarette commercials.
이것이 바로 우리가 하고 있는 일입니다.,So here's what we're doing.,This is exactly what we are doing.,This is exactly what we are doing.,That's exactly what we're doing.
이것은 이 모든 나라들의 가솔린 소비입니다. 그리고 우리가 있습니다.,This is gasoline consumption in all of these countries. And us.,This is the gasoline consumption of all these countries. And there we are.,This is the consumption of gasoline in all these countries. And there we are.,"This is the gasoline consumption of all these countries, and here we are."
하지만 선진국 뿐만이 아닙니다.,But it's not just the developed nations.,But it's not just developed countries.,But it's not just developed countries.,But it's not just the developed world.
"개발도상국들이 지금 우리를 따르고 있고, 그 속도가 가속화되고 있습니다. 그리고 사실상, 올해 개발도상국들의 누적 배출량은 우리의 1965년 배출량과 같습니다. 그리고 이 나라들은 매우 극적으로 따라오고 있습니다. 2025년까지의 총 농도는, 결국 우리의 1985년 상황까지 따라올 것으로 예상됩니다.","The developing countries are now following us and accelerating their pace. And actually, their cumulative emissions this year are the equivalent to where we were in 1965. And they're catching up very dramatically. The by 2025, they will be essentially where we were in 1985.","Developing countries are now following us, and the pace is accelerating. And in fact, the cumulative emissions of developing countries this year are equal to our emissions in 1965. And these countries are following along very dramatically. Total concentrations by 2025 are expected to eventually match our 1985 situation.","Developing countries are following us now, and the pace is accelerating. And in fact, the cumulative emissions of developing countries this year are the same as our emissions in 1965. And these countries are following very dramatically. The total concentration by 2025 is expected to eventually follow our 1985 situation.","And in fact, the cumulative emissions of developing countries this year are equal to our emissions in 1965. And they are catching up very dramatically. By 2025, the total concentration is expected to eventually catch up to our 1985 situation."
"부유한 나라들이 이 그림에서 완전히 사라진다고 해도, 우리는 여전히 이 위기를 겪게 될 것입니다.","If the wealthy countries were completely missing from the picture, we would still have this crisis.","Even if rich countries disappeared from the picture entirely, we would still have this crisis.","Even if rich countries were to disappear from this picture entirely, we would still have this crisis.","Even if wealthy countries were to completely disappear from the picture, we would still have this crisis."
그러나 우리는 이 위기를 초래한 기술과 사고 방식을 개발도상국에 전했습니다. 그것이 위기를 만들어내고 있습니다. 이것은 볼리비아입니다. 30년 동안.,But we have given to the developing countries the technologies and the ways of thinking that are creating the crisis. This is in Bolivia -- over thirty years.,But we have brought to the developing world the technologies and thinking that created this crisis. That is creating a crisis. This is Bolivia. For 30 years.,But we have passed on to developing countries the technologies and mindset that led to this crisis. That is creating a crisis. This is Bolivia. For 30 years.,But we've brought the technology and the mindset that created this crisis to the developing world. That's what's creating the crisis. This is Bolivia. For 30 years.
이것은 몇 초만에 정점에 오릅니다. 60년대.,This is peak fishing in a few seconds. The '60s.,This peaks in seconds. 60's.,This peaks in a matter of seconds. 60s.,This peaks in a matter of seconds. 60s.
70년대. 80년대. 90년대. 여기서 멈춰야 합니다. 여기서 멈출 수 있다는 것이 좋은 소식입니다.,'70s. '80s. '90s. We have to stop this. And the good news is that we can.,70's. 80's. 90's. We must stop here. The good news is that you can stop here.,70s. 80s. 90s. We need to stop here. The good news is that you can stop here.,"The 70s. The 80s. The 90s. It has to stop here, and the good news is that it can."
우리에게는 기술이 있습니다.,We have the technologies.,We have the technology.,We have technology.,We have the technology.
"세계의 가난에 대한 전쟁과 부유한 나라들의 배기량을 줄이는 도전, 우리는 이 문제를 어떻게 해결해야 할 지에 대해 단일한 관점을 가져야 합니다. 모든 문제들에는 아주 간단한 하나의 해결책이 있습니다.","We have to have a unified view of how to go the struggle against poverty in the world and the challenge of cutting wealthy country emissions, all has a single, very simple solution.","With the war on global poverty and the challenge of reducing emissions in rich countries, we must have a unified view on how to solve this problem. Every problem has one very simple solution.","The war on poverty in the world and the challenge of reducing emissions in rich countries, we must have a single perspective on how to solve this problem. There is one very simple solution to every problem.","The world's war on poverty and the challenge of reducing emissions in the richest countries, we need to have a unified view of how to solve these problems. Every problem has one very simple solution."
"사람들은 ""해결책이 뭡니까?""라고 말합니다. 바로 여기 있습니다.","People say, ""What's the solution?"" Here it is.","People say, “What’s the solution?” It's right here.","People ask, ""What's the solution?"" Says. It's right here.","People say, ""What's the solution?"" Well, it's right here."
"탄소에 가격을 매기는 것입니다. 우리는 세수중립으로, 비스마르크가 발명해낸, 고용에 대한 세금을 이산화탄소 세금으로 대체해야 합니다. 19세기 이후 몇 가지가 바뀌었습니다.","Put a price on carbon. We need a CO2 tax, revenue neutral, to replace taxation on employment, which was invented by Bismarck -- and some things have changed since the 19th century.","It's about putting a price on carbon. We should replace the tax on employment, invented by Bismarck, with a tax on carbon dioxide that is revenue neutral. Some things have changed since the 19th century.","It's about putting a price on carbon. We should be tax neutral, replacing the tax on employment invented by Bismarck with a carbon dioxide tax. Several things have changed since the 19th century.","We need to replace Bismarck's invention, the tax on employment, with a tax on carbon dioxide, revenue neutral. A few things have changed since the 19th century."
"가난한 세계에, 우리는 기후 위기에 대한 해결책을 가난에 대한 응답과 통합해야 합니다.","In the poor world, we have to integrate the responses to poverty with the solutions to the climate crisis.","In a poor world, we must integrate solutions to the climate crisis with responses to poverty.","In a poor world, we must integrate solutions to the climate crisis with responses to poverty.","In a poor world, we need to integrate solutions to the climate crisis with responses to poverty."
우간다에서 가난과 싸우는 계획은 우리가 기후 위기를 해결하지 않는다면 의미가 없어집니다.,"Plans to fight poverty in Uganda are mooted, if we do not solve the climate crisis.",Plans to fight poverty in Uganda will be meaningless if we do not address the climate crisis.,Plans to fight poverty in Uganda become meaningless if we don't address the climate crisis.,A plan to fight poverty in Uganda will be meaningless if we don't address the climate crisis.
그러나 가난한 나라들에서는 응답들이 실제로 큰 차이를 만듭니다. 이것은 유럽에 대해 많이 얘기되어 온 제안입니다.,But responses can actually make a huge difference in the poor countries. This is a proposal that has been talked about a lot in Europe.,But in poor countries the responses actually make a big difference. This is a much-talked-about proposal for Europe.,"But in poorer countries, the responses actually make a big difference. This is a proposal that has been talked about a lot about Europe.","But in poorer countries, the responses really do make a difference. This is a suggestion that has been talked about a lot for Europe."
"이것은 네이쳐 잡지에서 가져온 것입니다. 이것은 이른바 '수퍼그리드'로 연결된 태양광 집광, 재생 에너지 발전소로, 주로 개발도상국들로부터 고전압 DC 전류를 만들어 유럽에 모든 전력을 공급하는 것입니다.","This was from Nature magazine. These are concentrating solar, renewable energy plants, linked in a so-called ""supergrid"" to supply all of the electrical power to Europe, largely from developing countries -- high-voltage DC currents.","This is from Nature magazine. This is a so-called 'supergrid' of concentrating solar, renewable energy plants connected to generate high-voltage DC current, mainly from developing countries, to supply all of Europe's electricity.","This is taken from Nature magazine. This is a so-called 'supergrid' connected solar concentrating, renewable energy power plant that generates high-voltage DC currents, mainly from developing countries, to supply all the electricity to Europe.","This is from Nature magazine: these are solar concentrated, renewable energy power plants connected in a so-called ""supergrid"" that generates high-voltage DC current, mostly from developing countries, to power all of Europe."
이것은 '그림의 떡'이 아닙니다. 이루어질 수 있습니다.,This is not pie in the sky; this can be done.,This is not a ‘rice cake’. It can be done.,This is not a 'piece of cake'. It can be done.,"This isn't a ""picture of bread and butter"" - it can be done."
우리 자신의 경제를 위해서 이렇게 할 필요가 있습니다.,We need to do it for our own economy.,We need to do this for our own economy.,We need to do this for our own economy.,We need to do this for the sake of our own economy.
"최근의 수치를 보면 구 모델이 더이상 효과가 없다는 것을 알게 됩니다. 여러분이 하실 수 있는 하실 수 있는 훌륭한 투자가 참 많습니다. 여러분이 역청이나 혈암유에 투자한다면, 서브 프라임 탄소 자산으로 꽁 꽁 채운 포트폴리오를 갖게 되실 것입니다.","The latest figures show that the old model is not working. There are a lot of great investments that you can make. If you are investing in tar sands or shale oil, then you have a portfolio that is crammed with sub-prime carbon assets.","A look at the latest numbers shows that the old model no longer works. There are so many great investments you can make. If you invest in bitumen or shale oil, you will have a portfolio full of subprime carbon assets.","If you look at the recent figures, you will see that the old model is no longer effective. There are so many great investments that you can make. If you invest in bitumen or shale oil, you'll have a portfolio full of subprime carbon assets.","If you look at the latest numbers, you realize that the old model doesn't work anymore. If you invest in bitumen or shale oil, you're going to have a portfolio full of sub-prime carbon assets."
이것은 구 모델을 바탕으로 한 것입니다.,And it is based on an old model.,This is based on the old model.,This is based on the old model.,This is based on the old model.
바보들은 팔과 다리의 혈관이 붕괴될 때 발끝에서 혈관을 찾습니다. 역청과 석탄 셰일을 개발하는 것도 마찬가지입니다. 제가 개인적으로 합당하다고 생각하는 투자 몇 가지는 다음과 같습니다.,Junkies find veins in their toes when the ones in their arms and their legs collapse. Developing tar sands and coal shale is the equivalent. Here are just a few of the investments that I personally think make sense.,Fools look for blood vessels in their toes when the blood vessels in their arms and legs collapse. The same goes for developing bitumen and coal shale. Here are a few investments I personally think make sense:,Fools look for blood vessels in their toes when they collapse in their arms and legs. The same goes for developing bitumen and coal shale. Here are some investments that I personally think are worth it:,Fools look for veins in their toes when the veins in their arms and legs collapse. The same is true of developing bitumen and coal shale. Here are a few investments that I personally think make sense.
"저는 여기에 투자를 했고, 포기 각서를 쓸 예정입니다.","I have a stake in these, so I'll have a disclaimer there.",I have invested here and am planning to write a waiver.,I have invested in this and will write a memorandum of renunciation.,"I've invested in it, and I'm going to write a waiver."
"지열, 태양광 집열, 최신 태양전지, 효율성과 보존이죠.","But geothermal, concentrating solar, advanced photovoltaics, efficiency and conservation.","Geothermal heat, solar energy collection, the latest solar cells, efficiency and conservation.","Geothermal, solar collection, modern solar cells, efficiency and conservation.","Geothermal, solar collectors, modern solar cells, efficiency and conservation."
"이전에 이 슬라이드를 보신 적이 있으시지만, 달라진 것이 있습니다.","You've seen this slide before, but there's a change.","You've seen this slide before, but there's something different.","You've seen this slide before, but there's something that has changed.","You've seen this slide before, but there's something different."
비준하지 않은 나라가 둘 있었습니다. 지금은 오직 한 나라 뿐입니다. 호주는 투표를 했습니다.,The only two countries that didn't ratify -- and now there's only one. Australia had an election.,There were two countries that did not ratify it. Now there is only one country. Australia has voted.,There were two countries that did not ratify it. Now there is only one country. Australia voted.,"There were two countries that didn't ratify, and now there's only one. Australia has voted."
"호주에서는 사람들에게 긴박함을 전하고자 텔레비전, 인터넷, 라디오 광고까지 포함된 캠페인을 벌였습니다.",And there was a campaign in Australia that involved television and Internet and radio commercials to lift the sense of urgency for the people there.,"In Australia, a campaign was launched that included television, Internet, and radio advertisements to convey a sense of urgency to people.","In Australia, a campaign was launched to convey urgency to people, including television, the Internet and radio advertisements.","In Australia, the campaign included television, internet, and even radio ads to give people a sense of urgency."
우리는 호주의 모든 마을과 도시에서 이 슬라이드 쇼를 보여주고자 250명의 사람들을 훈련시켰습니다.,And we trained 250 people to give the slide show in every town and village and city in Australia.,We trained 250 people to present this slideshow in every town and city in Australia.,We trained 250 people to show this slideshow in every town and city in Australia.,We trained 250 people to show this slideshow in every town and city in Australia.
"수많은 다른 것들이 기부되었습니다만, 새 총리는 가장 중요한 우선 순위가 교토의정서에 대한 호주의 입장을 바꾸는 것이라고 발표했고, 실제로 그렇게 되었습니다. 그들이 겪은 끔찍한 가뭄 때문에 일부적으로 관심을 갖게된 것입니다.","Lot of other things contributed to it, but the new Prime Minister announced that his very first priority would be to change Australia's position on Kyoto, and he has. Now, they came to an awareness partly because of the horrible drought that they have had.","Numerous other things were donated, but the new Prime Minister announced that the most important priority was to change Australia's position on the Kyoto Protocol, and that was done. They became interested in part because of the terrible drought they experienced.","Numerous other things have been donated, but the new prime minister has announced that his overarching priority is to change Australia's stance on the Kyoto Protocol, and it has been. It was partly because of the terrible drought they suffered that they became interested.","A lot of other things were donated, but the new prime minister announced that the most important priority was to change Australia's position on the Kyoto Protocol, and that's what they did, partly because of the terrible drought they were going through."
"이것은 레이니어 호수입니다. 제 친구 하이디 컬린스는 우리가 태풍에 이름을 붙이듯이 가뭄에도 이름을 붙인다면, 지금 남동쪽의 가뭄은 카트리나라고 부를 것이고, 그것이 아틀란타를 향해 이동하고 있다고 말할 것이라고 했습니다.","This is Lake Lanier. My friend Heidi Cullen said that if we gave droughts names the way we give hurricanes names, we'd call the one in the southeast now Katrina, and we would say it's headed toward Atlanta.","This is Lake Rainier. My friend Heidi Cullins said that if we were to name droughts the way we name hurricanes, we would call the current drought in the Southeast Katrina and say it is moving toward Atlanta.","This is Lake Rainier. My friend Heidi Collins said that if we were to name a drought the same way we would name a typhoon, we would now say that the drought in the southeast is called Katrina and that it is moving toward Atlanta.","This is Lake Lanier. My friend Heidi Cullins said that if we named droughts the way we name hurricanes, we'd call the drought in the southeast right now Katrina and say it's moving toward Atlanta."
우리는 그런 종류의 가뭄을 기다릴 수 없습니다. 호주는 정치적 문화를 바꾸어야 했습니다.,We can't wait for the kind of drought Australia had to change our political culture.,We can't wait for that kind of drought. Australia needed to change its political culture.,We can't wait for that kind of drought. Australia had to change its political culture.,We can't wait for that kind of drought. Australia had to change its political culture.
좀더 좋은 소식이 있습니다. 미국에서 교토의정서를 지지한 도시들이,Here's more good news. The cities supporting Kyoto in the U.S.,There is more good news. Cities that supported the Kyoto Protocol in the United States,There is more good news. Cities that supported the Kyoto Protocol in the United States,There's more good news. Cities that have endorsed the Kyoto Protocol in the U.S. are now
780에 달합니다. 이것을 단지 현지화하기 위해 그 곳에 간 사람도 본 것 같습니다. 좋은 소식입니다.,"are up to 780 -- and I thought I saw one go by there, just to localize this -- which is good news.",It amounts to 780. I think I saw someone go there just to localize this. That's good news.,It reaches 780. I think I've seen people who went there just to localize this. Good news.,"It's up to 780. I think I've even seen someone who went there just to localize this, which is good news."
며칠 전에 우리는 개인적 영웅주의를 만드는 것의 가치에 대해 들었습니다. 너무나 흔해서 이제는 진부하고 일상적인 것이 되어버렸다고 합니다.,"Now, to close, we heard a couple of days ago about the value of making individual heroism so commonplace that it becomes banal or routine.",A few days ago we heard about the value of creating personal heroism. It is said to be so common that it has now become commonplace and routine.,A few days ago we heard about the value of creating personal heroism. It is said that it is so common that it has now become a cliché and a commonplace.,"A few days ago, we heard about the value of creating personal heroism - something so common that it's become trite and routine."
"우리가 필요한 것은 또다른 영웅 세대입니다. 오늘날 미국인 뿐 아니라, 전세계의 모든 사람들은 역사가 우리에게 선택을 내리도록 한다는 것을 어떻게든 이해해야 합니다. 질 볼트 테일러가 정신 착란이라는 놀라운 일을 겪는 가운데 어떻게 해야 살 수 있을지 파악했던 것처럼 말입니다.","What we need is another hero generation. Those of us who are alive in the United States of America today especially, but also the rest of the world, have to somehow understand that history has presented us with a choice -- just as Jill [Bolte] Taylor was figuring out how to save her life while she was distracted by the amazing experience that she was going through.","What we need is another generation of heroes. Today, not only Americans, but everyone around the world must somehow understand that history forces us to make choices. Just as Jill Bolt Taylor figured out how to survive the incredible experience of delirium.","What we need is another generation of heroes. Today, not just Americans, but everyone in the world must somehow understand that history allows us to make choices. Just like Jill Bolt Taylor figured out how to live in the amazing thing of delirium.","What we need is another generation of heroes. Not just Americans today, but everyone in the world needs to somehow understand that history forces us to make choices, just as Jill Bolt Taylor figured out how to live through the incredible thing called insanity."
이제 우리에게는 산만한 문화가 있습니다,We now have a culture of distraction.,Now we have a culture of distraction,Now we have a culture of distraction,Now we have a culture of distraction
그러나 우리에게는 지구의 응급상황이 있습니다.,But we have a planetary emergency.,But we have a planetary emergency.,But we have an emergency on Earth.,But we have a global emergency.
그리고 우리는 오늘날을 살아가는 모든 사람들에게 세대의 사명감을 창출할 수 있는 방법을 찾아야 합니다.,"And we have to find a way to create, in the generation of those alive today, a sense of generational mission.",And we must find ways to create a generational sense of mission for everyone living today.,And we need to find ways to create a generational sense of mission for all people living today.,And we need to find ways to create a generational sense of mission for everyone living today.
이 말을 전할 수 있는 단어가 떠올랐으면 좋겠습니다.,I wish I could find the words to convey this.,I hope you can think of words to convey this message.,I hope you can think of a word that can convey these words.,I wish I could think of the words to say this.
이들은 지구에 민주주의를 가져다 준 또다른 영웅 세대였습니다.,This was another hero generation that brought democracy to the planet.,This was another generation of heroes who brought democracy to Earth.,They were another generation of heroes who brought democracy to the planet.,They were another generation of heroes who brought democracy to the planet.
"또 다른 세대는 노예제도를 종식시키고, 여성들에게 참정권을 부여했습니다.",Another that ended slavery. And that gave women the right to vote.,Another generation ended slavery and gave women the right to vote.,Another generation ended slavery and gave women the right to vote.,Another generation ended slavery and gave women the right to vote.
우리도 할 수 있습니다. 우리에게 그럴 능력이 없다고 말하지 마십시오.,We can do this. Don't tell me that we don't have the capacity to do it.,We can do it too. Don't tell us we don't have the ability.,We can do it too. Don't tell us that we don't have the ability to do so.,We can do it too. Don't tell us we don't have the ability to do it.
"우리가 이라크 전쟁에 쏟는 노력의 일주일치만 있어도, 이 문제를 잘 해결할 수 있을 것입니다.","If we had just one week's worth of what we spend on the Iraq War, we could be well on the way to solving this challenge.","If we had one week of the effort we put into the war in Iraq, we would be able to solve this problem.","Even if we have just one week of our efforts in the Iraq war, we will be able to solve this problem well.","If we had a week's worth of the effort we're putting into the Iraq war, we'd be well on our way to solving this problem."
우리에게는 그럴 능력이 있습니다.,We have the capacity to do it.,We have the ability to do so.,We have the ability to do so.,We have the ability to do that.
"마지막으로 말씀드리고 싶은 한 가지는, 제가 낙관적이라는 것입니다. 저는 이 거대한 도전의 시기에, 우리에게는 혼란한 산만함을 제끼고 역사가 우리에게 요구하는 도전에 답하기 위해 일어설 수 있는 능력이 있다고 믿기 때문입니다.","One I'm optimistic, because I believe we have the capacity, at moments of great challenge, to set aside the causes of distraction and rise to the challenge that history is presenting to us.","One final thing I would like to say is that I am optimistic. Because I believe that in these times of great challenge, we have the ability to set aside confusing distractions and rise up to answer the challenges that history asks of us.","One last thing I want to say is that I'm optimistic. Because I believe that in this time of great challenge, we have the ability to set aside the distractions of confusion and stand up to the challenges that history demands of us.","One last thing I'd like to say is that I'm optimistic, because I believe that in this time of great challenge, we have the ability to rise above the distractions and rise to the challenge that history is asking us to answer."
"사람들이 기후 위기의 난처한 사실들에 대해 이렇게 말하는 것을 들을 때가 있습니다. ""아, 정말 끔찍하다.","Sometimes I hear people respond to the disturbing facts of the climate crisis by saying, ""Oh, this is so terrible.","There are times when I hear people say this about the embarrassing facts of the climate crisis: “Oh, it’s really terrible.","Sometimes I hear people say this about the embarrassing facts of the climate crisis. ""Oh, it's terrible.","Sometimes I hear people say things like this about the hard facts of the climate crisis. ""Oh, that's terrible."
"너무 부담스럽다."" 저는 여러분께 다른 각도에서 바라보시기를 부탁드리고 싶습니다. 인류의 역사상 얼마나 많은 세대들이 최선의 노력을 기울일만한 가치 있는 도전에 응하기 위해 일어설 기회가 있었을까요?","What a burden we have."" I would like to ask you to reframe that. How many generations in all of human history have had the opportunity to rise to a challenge that is worthy of our best efforts?","It's too burdensome."" I'd like to ask you to look at it from a different angle. How many generations in the history of mankind have had the opportunity to rise up and take on a challenge worth their best effort?","It's so burdensome."" I would like to ask you to look at it from a different angle. How many generations in human history have had the opportunity to rise up to a worthwhile challenge for which they will do their best?","It's too overwhelming."" I'd like to ask you to look at it from a different angle: How many generations in human history have had the opportunity to rise up to meet a challenge worthy of their best efforts?"
